id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
58,Texier 1995,NY 18 Nyabusosi,Whole assemblage,Unattributed,Oldowan,Archaeological,Whole assemblage,Uganda,UG,Africa,0,0.964876,30.343459,1500,2000,1750.0,,10,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
59,Schimelmitz et al. 2011,Qesem Cave,Systematic blade production from core prepared with a crest rejuvinated with tablets face is shaped with debordantes. Distal convexities managed with overshot flaking.  Where the product is retouched and burinated.  Based on figure 11. number 4 a prismatic core.,Unattributed,Other,Archaeological,Single sequence,Israel,IL,Asia,0,31.933707,34.970458,194,420,307.0,Gopher et al. 2010. chronology of late lower pal. in Quaternary Geochron.,12,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
60,Barkai et al. 2005 and Barzilai et al. 2011,Qesem Cave,Whole assemblage blades and bifaces. Nahr Ibrahim tech. NO levallois.,Unattributed,Other,Archaeological,Whole assemblage,Palestine,PS,Asia,0,32.066528,34.983486,194,420,307.0,Gopher et al. 2010. chronology of late lower pal. in Quaternary Geochron.,16,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0
61,Chazan 2001a,La Farressie,Bladelet production on a blade whose face is shaped and is invasively flaked. Figure 3. Vachons burin production method. The initial steps of the blade core production are not fully described the platforms are described as well prepared but not specified about whether this involves facetting abrasion. Cresting is present in early stages but in lateral form.,H. sapiens,Other,Archaeological,Single sequence,France,FR,Europe,0,44.879293,0.884402,26.7,28.7,27.7,,12,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0
62,Fernandez 2005,Cueva Morin levels 9-10,Blade/ Bladelet production on prismatic cores,H. sapiens,Other,Archaeological,Single sequence,Spain,ES,Europe,0,43.359168,-3.896822,35,38,36.5,,13,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
63,Chazan 2001b,Hayonim cave level D.,Bladelet production on endscraper on a flake. notched to manage lateral convexities and narrow working surface. step 4 include debordante removals.,H. sapiens,Other,Archaeological,Single sequence,Israel,IL,Asia,0,32.899286,35.280769,21,30,25.5,,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
64,Clarkson et a. 2015,Ka'eo quarry,Quadrangular adze production on flake.,H. sapiens,Other,Archaeological,Single sequence,United States of America,US,North America,0,21.171681,-157.184841,0.2,0.6,0.4,,16,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
65,Clarkson et a. 2015,Ka'eo quarry,Whole assemblage (only adze prod).,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,1,21.303986,-157.206239,0.2,0.6,0.4,,16,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
66,Malinsky-Buller et al. 2014,Ein Qashish,Blades/bladelets from narrow fronted single platform cores. As in figure 5. With abraded and microchiped platforms. Retouch is conservatively assessed by the authors given taphonomic history of site. So I counted only rt as present no more.,H. neanderthalensis,Other,Archaeological,Single sequence,Israel,IL,Asia,0,32.739551,35.071022,55,65,60.0,,13,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
67,Malinsky-Buller et al. 2014,Ein Qashish,Whole assemblage,H. neanderthalensis,Other,Archaeological,Whole assemblage,Israel,IL,Asia,0,32.607159,35.084973,55,65,60.0,,21,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0
