id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
106,Leach and Leach 2019,Oterahua,Blade reduction at Oturehua,H. sapiens,Other,Archaeological,Whole assemblage,New Zealand,NZ,Oceania,0,-45.437417,170.617771,0.72,1,0.86,,7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
107,Smith et al. 1996,Shag River Mouth,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,New Zealand,NZ,Oceania,0,-45.47619,170.606465,0.55,0.75,0.65,,18,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
108,Smith et al. 1996,Shag River Mouth,blade reduction bidirectional no cresting initiation and retouch of burinated blades,H. sapiens,Other,Archaeological,Single sequence,New Zealand,NZ,Oceania,1,-45.410229,170.90632,0.55,0.75,0.65,,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
109,Walter and Green 2011,Su'ena,"Chert ""tranchet"" adzes",H. sapiens,Other,Archaeological,Single sequence,Solomon Islands,SB,Oceania,1,-10.271142,161.707824,0.45,0.6,0.525,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
110,Walter and Green 2011,Su'ena,All includes chert adzes ad hoc rt on flakes mentions of blades but not description of features aside from prismatic cross section.,H. sapiens,Other,Archaeological,Whole assemblage,Solomon Islands,SB,Oceania,1,-10.156905,161.735254,0.45,0.6,0.525,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
111,Nishiaki et al. 2013,Tepe Rahmatabad,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Iran,IR,Asia,0,30.191948,53.013902,7.7,8.7,8.2,,15,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0
112,Fredericksen 1994,Pamwak Rockshelter Phase II-IV,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,0,-2.069788,147.060489,5,12.5,8.75,,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
113,Ariel-Shatil 2006,Sha'ar Hagolan,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Jordan,JO,Asia,0,32.644825,35.583658,7,7.4,7.2,,15,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
114,Paige 2022 and Stebbins 1986,NA 11047,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.375257,-110.622306,0.7,0.9,0.8,Stebbins 1986,16,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
115,Paige 2022 and Stebbins 1986,NA 11057,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.29619,-110.867351,0.7,0.9,0.8,Stebbins 1986,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1
116,Allen et al. 2011,Oposisi,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,1,-8.95487,146.538202,1.5,2,1.75,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
117,Reepmeyer et al. 2010,Teouma,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Vanuatu,VU,Oceania,0,-17.726225,168.368973,2.5,3.2,2.85,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
118,David et al. 2019,Moiapu 3,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,1,-9.468758,147.052227,2,2.55,2.275,marine20 applied to dates in davidMoiapuSettlementMoiapu2019,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,Leach and Leach 1980,Riverton adze quarry,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,New Zealand,NZ,Oceania,1,-46.391232,167.942186,0.5,0.7,0.6,intcal20 applied to dates in leachRivertonSiteArchaic1980,16,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0
120,Wilson 1999,Cat's eye point,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,New Zealand,NZ,Oceania,0,-45.208879,170.939625,0.5,0.9,0.7,,11,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
121,Walling 1988,Little man 1,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,37.207334,-113.326756,0.95,1,0.975,Dalley 1988,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
122,Walling 1988,Little man 2,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,37.233195,-113.343315,0.95,1,0.975,Dalley 1988,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1
123,Walling 1988,Little man 3,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,37.308667,-113.334059,1,1.2,1.1,Dalley 1988,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1
124,Walling 1988,Little man sites,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,37.215857,-113.348436,0.5,1.2,0.85,Dalley 1988,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1
125,Wambach 2014,Lava Ridge Ruin,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.117293,-113.520764,0.8,0.95,0.875,,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
126,Wambach 2014,Granary House,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.125779,-112.867299,0.85,1,0.925,,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1
127,Wambach 2014,Andrus Canyon,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.040185,-113.263393,0.8,0.95,0.875,,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
128,Wambach 2014,Corn Cob,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,35.968652,-113.556829,0.7,0.8,0.75,,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1
129,Wambach 2014,Coyote,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.096154,-113.799475,0.7,0.8,0.75,,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
130,Wambach 2014,Site 232,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.195338,-113.564631,0.85,1,0.925,,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
131,Wambach 2014,Peter's Pocket,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.139492,-113.561991,0.85,1,0.925,,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
132,Wambach 2014,To'tsa,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,36.190701,-113.415728,0.7,0.8,0.75,,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
133,Love-dePeyer 1980,5LP110 and 111,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,37.296647,-107.866594,1.17,1.2,1.185,Gooding 1980,13,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
134,Araho et al. 2002,Willaumez Peninsula,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,1,-5.066228,150.029677,3.5,6,4.75,,15,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
135,Araho et al. 2002,Willaumez Peninsula,Type 1. tools. Stemmed blades,H. sapiens,Other,Archaeological,Single sequence,Papua New Guinea,PG,Oceania,0,-5.198901,150.054863,3.5,6,4.75,,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0
136,Araho et al. 2002,Willaumez Peninsula,Type 2. tools,H. sapiens,Other,Archaeological,Single sequence,Papua New Guinea,PG,Oceania,0,-5.127912,150.039003,3.5,6,4.75,,14,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
137,Paige 2022,AZ BB:2:19,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,32.844459,-110.747183,0.5,0.7,0.6,Clark and Lyons 2012,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1
138,Paige 2022,AZ BB:11:26,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,32.444579,-110.437827,0.57,0.7,0.635,Clark and Lyons 2012,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1
139,Paige 2022,AZ BB:11:36,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,32.419791,-110.454195,0.57,0.7,0.635,Clark and Lyons 2012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
140,Paige 2022,AS.13.41 XU-4,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,American Samoa,AS,Oceania,1,-14.217394,-169.193998,1,2.7,1.85,Quintus et al. 2016,10,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,Paige 2022,Pitcairn sites,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Pitcairn Islands,PN,Oceania,1,-25.096179,-130.091467,0.3,0.6,0.45,Paige 2022,25,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
142,Lindeman 1995 and Adams 1995,Pyramid Point V:5:1,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.590359,-111.000214,0.6,0.7,0.65,table 1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
143,Lindeman 1995 and Adams 1995,Meddler Point V:5:4,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.576483,-110.969805,0.65,1.2,0.925,table 1.1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
144,Lindeman 1995 and Adams 1995,Griffin Wash B V:5:90,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.72549,-110.981364,0.65,0.7,0.675,table 1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
145,Lindeman 1995 and Adams 1995,Griffin Wash A V:5:90,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.619066,-111.02879,0.6,0.7,0.65,table 1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
146,Lindeman 1995 and Adams 1995,Hedge Apple V:5:189,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.646609,-110.970315,1.1,1.2,1.15,table 1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
147,Lindeman 1995 and Adams 1995,Eagle Ridge A V:5:104,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.569682,-110.949087,0.6,1,0.8,table 1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
148,Lindeman 1995 and Adams 1995,Eagle Ridge B V:5:104,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.692227,-110.944802,1.45,1.85,1.65,table 1.1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
149,Lindeman 1995 and Adams 1995,Porcupine Site V:5:106,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,0,33.515824,-110.966224,0.65,0.7,0.675,table 1.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
150,Gaffney et al. 2015,Kiowa levels 10-12,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,0,-5.982546,145.147696,10.2,12.5,11.35,table 1.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
151,Gaffney et al. 2015,Kiowa levels 2-6,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,0,-6.005945,145.157655,5.3,7.1,6.2,table 1.,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
152,Sheppard 1993,Reef Island Sites,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Solomon Islands,SB,Oceania,1,-10.314735,166.314448,2.8,3.3,3.05,p. 123,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
153,Snyder et al. 2022,ZLS flaking study,Passive hammer no rotation,H. sapiens,Other,Experimental,Single sequence,,,,0,,,,,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Snyder et al. 2022,ZLS flaking study,Bipolar percussion no rotation,H. sapiens,Other,Experimental,Single sequence,,,,0,,,,,,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Snyder et al. 2022,ZLS flaking study,Freehand percussion with rotation,H. sapiens,Other,Experimental,Single sequence,,,,0,,,,,,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
